[XueTr][SSDT]: 284
序号		函数名称		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
244		NtSetTimer		0x805361E8		-		0x805361E8		C:\WINDOWS\system32\ntkrnlpa.exe
245		NtSetTimerResolution		0x8060B506		-		0x8060B506		C:\WINDOWS\system32\ntkrnlpa.exe
246		NtSetUuidSeed		0x8060D382		-		0x8060D382		C:\WINDOWS\system32\ntkrnlpa.exe
247		NtSetValueKey		0x8061A28E		-		0x8061A28E		C:\WINDOWS\system32\ntkrnlpa.exe
248		NtSetVolumeInformationFile		0x80572516		-		0x80572516		C:\WINDOWS\system32\ntkrnlpa.exe
249		NtShutdownSystem		0x8060AB22		-		0x8060AB22		C:\WINDOWS\system32\ntkrnlpa.exe
250		NtSignalAndWaitForSingleObject		0x80523C80		-		0x80523C80		C:\WINDOWS\system32\ntkrnlpa.exe
251		NtStartProfile		0x8060F88E		-		0x8060F88E		C:\WINDOWS\system32\ntkrnlpa.exe
252		NtStopProfile		0x8060FA38		-		0x8060FA38		C:\WINDOWS\system32\ntkrnlpa.exe
253		NtSuspendProcess		0x805CBE96		-		0x805CBE96		C:\WINDOWS\system32\ntkrnlpa.exe
254		NtSuspendThread		0x805CBD08		-		0x805CBD08		C:\WINDOWS\system32\ntkrnlpa.exe
255		NtSystemDebugControl		0x8060FC5C		-		0x8060FC5C		C:\WINDOWS\system32\ntkrnlpa.exe
256		NtTerminateJobObject		0x805CE906		-		0x805CE906		C:\WINDOWS\system32\ntkrnlpa.exe
257		NtTerminateProcess		0x805C9DD6		-		0x805C9DD6		C:\WINDOWS\system32\ntkrnlpa.exe
258		NtTerminateThread		0x805C9FD0		-		0x805C9FD0		C:\WINDOWS\system32\ntkrnlpa.exe
259		NtTestAlert		0x805CC056		-		0x805CC056		C:\WINDOWS\system32\ntkrnlpa.exe
260		NtTraceEvent		0x805328C6		-		0x805328C6		C:\WINDOWS\system32\ntkrnlpa.exe
261		NtTranslateFilePath		0x8060E5E0		-		0x8060E5E0		C:\WINDOWS\system32\ntkrnlpa.exe
262		NtUnloadDriver		0x8057A82E		-		0x8057A82E		C:\WINDOWS\system32\ntkrnlpa.exe
263		NtUnloadKey		0x8061A5B8		-		0x8061A5B8		C:\WINDOWS\system32\ntkrnlpa.exe
264		NtUnloadKeyEx		0x8061A7DA		-		0x8061A7DA		C:\WINDOWS\system32\ntkrnlpa.exe
265		NtUnlockFile		0x8056F966		-		0x8056F966		C:\WINDOWS\system32\ntkrnlpa.exe
266		NtUnlockVirtualMemory		0x805AD64E		-		0x805AD64E		C:\WINDOWS\system32\ntkrnlpa.exe
267		NtUnmapViewOfSection		0x805A9406		-		0x805A9406		C:\WINDOWS\system32\ntkrnlpa.exe
268		NtVdmControl		0x805F2FBE		-		0x805F2FBE		C:\WINDOWS\system32\ntkrnlpa.exe
269		NtWaitForDebugEvent		0x8063AF90		-		0x8063AF90		C:\WINDOWS\system32\ntkrnlpa.exe
270		NtWaitForMultipleObjects		0x805B72F6		-		0x805B72F6		C:\WINDOWS\system32\ntkrnlpa.exe
271		NtWaitForSingleObject		0x805B720C		-		0x805B720C		C:\WINDOWS\system32\ntkrnlpa.exe
272		NtWaitHighEventPair		0x8060F03C		-		0x8060F03C		C:\WINDOWS\system32\ntkrnlpa.exe
273		NtWaitLowEventPair		0x8060EFD8		-		0x8060EFD8		C:\WINDOWS\system32\ntkrnlpa.exe
274		NtWriteFile		0x80573358		-		0x80573358		C:\WINDOWS\system32\ntkrnlpa.exe
275		NtWriteFileGather		0x80573968		-		0x80573968		C:\WINDOWS\system32\ntkrnlpa.exe
276		NtWriteRequestData		0x8059C304		-		0x8059C304		C:\WINDOWS\system32\ntkrnlpa.exe
277		NtWriteVirtualMemory		0x805AA990		-		0x805AA990		C:\WINDOWS\system32\ntkrnlpa.exe
278		NtYieldExecution		0x8050325C		-		0x8050325C		C:\WINDOWS\system32\ntkrnlpa.exe
279		NtCreateKeyedEvent		0x806100B4		-		0x806100B4		C:\WINDOWS\system32\ntkrnlpa.exe
280		NtOpenKeyedEvent		0x8061019E		-		0x8061019E		C:\WINDOWS\system32\ntkrnlpa.exe
281		NtReleaseKeyedEvent		0x80610250		-		0x80610250		C:\WINDOWS\system32\ntkrnlpa.exe
282		NtWaitForKeyedEvent		0x806104DC		-		0x806104DC		C:\WINDOWS\system32\ntkrnlpa.exe
283		NtQueryPortInformationProcess		0x805C292A		-		0x805C292A		C:\WINDOWS\system32\ntkrnlpa.exe
